Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Pattern
0.19871718,2.608867,-0.8458065,7.1364136,-1.958612,0.99403477,1.5725036,1.9594827,-3.5260348,-3.0202785,-0.48131397,3.2914193,-2.7261403,-7.768853,5.4793973,random
0.5276545,1.6447996,-0.52868253,4.4518127,-4.090729,0.7992919,2.2144728,3.265918,-2.3159688,-2.147275,0.11666605,1.5181811,-4.828971,-8.0463705,5.7328067,random
2.26344,1.2526159,-2.1447277,5.7677035,-2.8898542,1.2579288,-0.12591758,4.047471,-1.5338762,-2.4707563,-0.49356753,2.8971014,-4.2737174,-7.827443,6.843901,random
2.388473,2.173312,-3.5509076,5.151275,-1.8925316,-0.5724678,4.489843,3.6415255,1.945221,-3.957136,-0.9926929,2.7931674,-4.06635,-8.571462,6.489271,random
2.620113,2.623871,-3.4535465,4.4644275,-1.6310552,-0.7076138,3.2159472,1.2896975,0.5621756,-5.1136765,-1.1376997,1.166455,-4.7606783,-7.6606894,7.2039967,random
1.6521957,1.7750676,-3.7881186,3.3977635,-2.3117812,0.6880671,2.965179,1.9000659,0.88489485,-5.6642413,-1.4545374,2.9750948,-5.0881944,-7.552523,7.6323743,random
1.7125487,1.7617706,-3.4990153,5.493267,-1.015652,-0.9879526,4.6365514,2.5842216,0.09111282,-4.431879,0.09172114,2.3711038,-4.168355,-7.035838,7.6143227,random
2.2228827,2.6872995,-2.0507584,4.960168,-2.309578,0.5721514,3.3342648,2.3198402,1.3399442,-5.870037,-1.4026012,2.252901,-4.346117,-6.745409,7.125712,random
0.39396936,0.9402534,-1.8211834,5.536695,-0.7413505,0.35239008,2.3414333,2.8999639,-1.5658758,-2.8696206,-0.3689146,2.5998755,-5.386099,-7.617701,7.658792,random
0.3445952,0.89004284,-1.5778168,5.9467087,-0.7277009,0.58429575,2.2534654,3.1438863,-1.5672474,-2.3600469,-0.1663979,2.9849732,-5.373104,-7.839198,7.271863,random
0.9894029,0.6977341,-2.2549827,6.968874,-1.5106535,0.55342716,2.356183,3.7396042,-0.12027568,-2.5940173,-0.18015757,3.0612435,-4.5899925,-9.09893,6.118628,random
2.3344908,1.563185,-2.0184124,6.691306,-1.4911913,0.14240804,1.348633,2.2491474,-0.6438012,-4.053753,-0.44828174,1.7176992,-4.7873282,-8.438466,5.902093,random
1.8555562,1.1499118,-2.7324867,4.765677,-2.02142,1.1915249,0.7797634,1.606121,-0.94203186,-3.8775342,-2.0800002,2.1112757,-5.3262877,-7.8661804,7.21865,random
2.3108685,1.1314759,-2.1069756,4.764742,-1.9703994,1.8851393,3.688372,2.5805972,-1.7999738,-3.9679387,-0.44330904,1.554312,-3.2007973,-7.664638,6.6982985,random
2.3146045,1.4347435,-2.080065,5.134442,-1.9570963,1.5857134,3.3271267,3.3908272,-1.6813529,-3.6186788,-0.1393889,1.8130094,-3.1617646,-7.594048,6.817172,random
2.312742,1.512691,-2.2568748,5.1894946,-1.7991817,1.4268464,2.9501815,3.322942,-1.0922035,-3.8386946,-0.193219,2.0568864,-3.5601745,-7.8829184,6.762535,random
2.845851,1.3922075,-2.4726086,5.84668,-1.3240085,1.6610944,2.7150805,2.9763575,-0.93150544,-3.9343145,-0.5415853,2.243023,-3.543532,-7.7210755,7.048422,random
1.9381212,1.5744566,-2.2701197,5.125479,-1.4676957,2.2471557,3.1733859,2.1755285,-1.566494,-3.9700048,-0.5757748,2.063232,-3.1718369,-7.575472,7.153186,random
1.8918343,2.8614326,-1.9885201,4.8523784,-2.2873538,0.55590445,1.0281144,1.8748668,-2.0557513,-3.2089138,-1.0119894,3.0884614,-3.8302708,-7.447902,6.774705,random
0.5282344,2.4816196,-2.4541342,5.852317,-1.9153348,0.37895054,1.9977803,3.4582102,-1.5275078,-2.0966187,0.9878922,2.1163723,-3.4644916,-7.498757,7.4522905,random
0.21510163,3.0160422,-0.5514559,5.598829,-2.7308257,-0.013087124,3.5617235,4.7890396,-1.4992099,-2.0771232,0.74397504,2.8631654,-2.5492773,-7.9824786,6.1671214,random
1.0826033,3.6228683,-1.6655458,7.242099,-2.7802935,-0.0013235798,1.7071725,3.1645076,-0.4492591,-2.4199393,0.6851487,2.124765,-3.9771574,-8.148972,5.374033,random
2.1226888,2.9688923,-2.168367,4.9419994,-2.752819,1.1124893,2.2938964,2.6648672,-2.38603,-2.2212737,-0.8100967,1.4525899,-4.0041223,-7.14105,5.7835884,random
1.3560612,2.092335,-0.74486196,6.936496,-0.15466611,-0.26953462,0.73274845,3.2013903,-1.8086076,-0.4035662,0.16213582,1.9532756,-4.8557553,-8.775874,7.1438203,random
0.42575824,2.222595,-0.18840292,6.162733,-2.8972194,1.3746004,-0.19883485,3.703438,-0.16560113,-1.5024619,0.13928081,2.0164409,-5.042442,-9.111398,6.0536633,random
0.4721661,2.0894916,-0.033361275,5.957072,-3.0185702,1.4808983,0.1889808,4.0290756,-0.6548593,-1.8245125,0.10242074,1.8624332,-4.764614,-8.839561,5.9233675,random
0.42006177,2.5584111,-1.6672766,6.073796,-1.9436588,1.1409438,0.45362806,0.75355387,-2.533327,-1.8203728,0.37822348,1.2998445,-5.919236,-8.006381,5.401884,random
-0.15298963,2.0899868,-1.3279222,4.5323405,-2.8779657,0.86745554,0.7464573,1.1770707,-2.0182278,-1.803326,0.71345496,1.758657,-6.288679,-8.65528,6.0896735,random
1.9819859,2.0255733,-1.4568632,6.500612,-1.7534518,0.95702213,2.8717473,4.1643696,-1.9498066,-3.2379677,-0.1592789,2.4990923,-2.8495173,-7.5414653,6.288856,random
1.8601726,2.5882232,-1.1119376,5.6526885,-1.2581536,1.1855644,3.7720258,3.3503175,-2.7458403,-2.6846364,-0.62993014,1.8798512,-2.5478394,-7.3572974,6.3645945,random
2.2378778,2.3629832,-1.5661479,5.5103946,-1.7471737,0.07238628,2.7562673,3.1332092,-1.6225487,-2.2787127,-0.57236224,1.9215838,-3.3997674,-8.414086,6.550937,random
1.5154698,2.5441642,-1.262661,4.9383807,-2.4407604,1.3091996,2.3801665,3.2884252,-1.9259453,-3.7390995,-1.0734684,1.9743772,-3.1888633,-7.4524884,6.704825,random
1.0154663,1.7834704,-2.799941,5.264928,-2.6421235,0.9231886,3.1914322,3.4374309,-2.1495383,-2.9564588,-0.42286563,2.5294266,-2.960226,-7.781528,6.319467,random
1.9177637,0.6531596,-2.1035793,5.8090754,-0.27730843,0.36440867,2.289867,3.279645,-0.3183636,-4.47303,-0.9085098,2.289175,-5.68627,-8.540228,6.671035,random
2.8404036,0.38229474,-3.2459717,5.9402943,-1.2478824,0.044669744,1.3729492,1.7167804,-0.81832397,-5.189066,-1.3334562,3.098745,-4.771048,-7.4767284,7.334955,random
1.867094,1.2825248,-2.7981439,5.964769,-0.8118783,0.4329534,1.2553127,1.3694416,-1.038946,-4.5936537,-1.2244966,2.8108308,-4.982661,-7.7421827,7.221092,random
0.9677239,1.1178018,-2.1756144,6.203788,-1.5153648,-0.20344566,1.5609355,3.985448,-0.14462855,-3.8021758,-0.21331726,2.842977,-4.404434,-8.82752,7.133157,random
2.3781688,1.1818569,-1.9704411,5.810807,-1.0402217,1.4127705,3.5685077,4.5404434,-3.169945,-2.8459582,-0.36688334,1.6119981,-2.448915,-6.819005,6.9127803,random
1.6241716,2.1672313,-1.3133547,5.9896216,-1.1005199,1.5467688,3.80204,3.7536874,-2.2025197,-2.1485953,-0.5247461,1.7373776,-2.4944859,-8.409169,6.2683964,random
1.8314089,2.4036138,-1.3177155,5.5233326,-2.3362339,2.1292558,2.3954945,2.7820005,-2.1546311,-4.0600867,-1.0584636,1.1289549,-2.9570446,-7.5247397,5.894612,random
1.83833,2.279397,-1.2974646,5.2344403,-2.200446,2.3804586,3.0205112,2.6300333,-2.5913663,-4.1672516,-1.1636529,0.813447,-2.8874972,-7.356813,5.873848,random
1.8828452,2.2940657,-1.3319343,5.0107803,-2.203763,2.2904935,3.363172,2.5670905,-2.6900508,-4.087884,-1.2026565,0.71017915,-2.8225222,-7.2368426,5.8806086,random
2.0394526,0.75834405,-1.6989096,5.5481954,-1.1480777,1.6182117,3.262449,2.341713,-1.5107853,-3.6043305,-0.7040299,1.8305703,-4.38269,-6.8609266,7.1651807,random
2.068957,0.6518625,-1.8582985,5.5101404,-1.1554645,1.4147457,3.1371825,2.3429391,-1.5633451,-3.8686795,-0.47043666,1.9229372,-4.308438,-7.0060925,7.130057,random
2.0800707,0.549462,-1.944298,5.5471625,-1.185108,1.4250177,2.985878,2.349406,-1.671027,-4.0094285,-0.40028548,2.0423272,-4.1234,-7.065637,7.0841045,random
2.3408573,0.6473086,-1.9793729,5.187034,-1.1898711,0.9390714,3.1001363,3.0433543,-0.8388992,-4.385863,-1.1687872,2.4668946,-3.737469,-8.48497,6.8180175,random
1.9667184,1.134041,-2.2426183,5.058199,-1.7384361,1.2863225,2.6168778,2.3786728,-1.0215471,-4.732636,-0.8843035,1.238026,-3.8256478,-7.9765463,6.826907,random
2.2325153,2.4078777,-1.0089039,7.4674845,-0.20860542,0.7462703,-1.0324937,2.452437,-0.7116547,-1.9400657,0.123466656,1.6107436,-5.6274886,-8.471564,7.021395,random
1.5945055,2.9612978,-0.36138034,7.4771566,-0.61281925,-0.20485897,-0.5073947,0.6943958,-0.81581396,-2.3321707,0.2058148,1.8783352,-5.5506577,-9.186849,6.460695,random
1.6353244,2.285985,-1.9651777,5.995015,-2.3861206,1.0252941,-1.9092525,0.6945323,-1.0714167,-2.9287026,-1.2519591,3.482118,-5.370683,-8.515439,6.978769,random
0.4358113,2.300897,-1.1201043,6.5079913,-2.8083744,1.0728972,-1.5822828,0.6136714,-1.2904649,-2.4834058,-0.6073379,3.0564713,-5.315356,-8.153271,7.0383077,random
-0.23944181,1.4821062,-0.036460936,6.6842427,-2.0859566,0.44063702,0.19022484,1.8070427,-1.8844328,-2.8675337,0.61304635,2.14431,-5.611433,-7.375619,7.0870824,random
1.8157536,2.5955312,-0.5357694,5.6935835,-2.0037704,2.1030836,2.7300048,3.290539,-2.3354843,-2.0543249,-0.9000999,2.1136065,-2.1840355,-8.34167,6.202478,random
2.1169467,2.0383341,-2.459721,5.2061644,-2.3983142,0.7294297,1.7714145,4.2407746,-2.1840065,-2.9056747,0.15511341,0.2346254,-3.2410197,-7.922331,6.6859307,random
1.6570661,1.6732855,-1.3773143,4.5177636,-2.8819132,2.2172377,2.6403313,3.0583496,-2.8714602,-2.4228373,-0.20845816,1.6385971,-3.5167608,-7.012288,6.4578204,random
1.687862,1.6570562,-1.4580013,4.610159,-2.7893667,2.1984284,2.6241124,3.0968943,-2.888776,-2.4571311,-0.19154732,1.7362413,-3.506635,-7.007573,6.456141,random
1.7264371,1.5319816,-1.7264018,4.515347,-2.634145,2.2465167,2.7405815,3.175753,-2.8697255,-2.6404808,-0.24488057,1.613619,-3.4561808,-7.0085974,6.563318,random
2.0975065,2.3425388,-1.620123,5.6172986,-1.6952171,2.6291437,4.7457027,2.8941984,-2.88202,-2.7583916,-0.23878516,1.3823966,-1.7925237,-7.132982,6.0902658,random
3.708604,1.0166372,-1.8510058,5.424514,-2.3504968,0.03826978,2.6464853,3.026827,-0.28650945,-2.5794978,-0.8295269,1.7674142,-4.031044,-9.785883,6.101142,random
2.7191355,2.8059719,-1.8462392,5.187794,-2.221002,2.988078,3.7105074,3.4855266,-2.436035,-2.7631357,-1.3374687,1.0097828,-2.1906624,-7.1505766,6.3312397,random
2.0342665,2.5373769,-0.9039235,4.230555,-2.274041,2.7949045,3.886047,2.1148717,-3.1906943,-2.9274015,-1.1871197,0.44988084,-2.4896762,-6.956397,6.712655,random
1.2828075,1.8898393,-1.7794608,4.7777734,-2.8701036,2.6660895,4.6763835,3.1767907,-3.0015435,-3.1140301,-0.19981347,1.345924,-1.7536497,-6.8392844,6.8772883,random
0.8910462,1.1212134,-2.882088,4.0762978,-2.853439,1.5250837,3.609013,3.4404268,-2.3463733,-4.193809,-0.28422242,2.2982717,-3.0369818,-6.527073,6.910694,random
0.99030626,1.1323191,-2.8937528,4.414887,-2.7444496,1.4517254,3.5392594,3.623525,-2.20812,-4.0943065,-0.21219715,2.4454887,-3.107364,-6.467159,6.8327265,random
1.0723549,0.8678393,-2.4285817,5.5982914,-2.4683247,1.414664,3.2009895,3.678524,-1.7970021,-4.011418,-0.08121368,2.9369788,-3.6703246,-6.2233076,6.8299336,random
3.8707187,1.5907928,-2.0445964,5.2170973,-1.6625538,0.5462906,1.7033554,3.9775898,-0.89326406,-4.6839585,-1.2397723,1.0803511,-3.3771708,-7.8642163,6.7747746,random
3.3754163,2.1744447,-1.2796981,5.3301954,-2.0579844,0.96809036,2.100596,3.31339,-0.451792,-4.6281486,-2.4689536,1.7913564,-3.5741863,-7.502298,6.531447,random
1.6977228,1.1503934,-2.0327747,5.115265,-2.3673553,-0.32846075,0.47901097,2.2904873,0.19487913,-2.9174962,-0.57163185,2.8033395,-5.816741,-9.231458,6.536667,random
1.91899,1.3599925,-2.6606188,5.486529,-2.8607013,0.05788853,0.6736917,2.438731,-0.32527992,-3.0931034,-0.6916734,2.9537804,-5.458898,-8.688313,5.8847055,random
0.9959827,2.0460813,-2.1163077,5.5947537,-2.6880457,0.92202306,0.2642796,2.561985,-1.1841455,-3.8975806,-1.010938,2.965232,-4.9619813,-8.0662,5.5646315,random
0.2945929,1.2508304,-2.2059474,5.833627,-2.1004272,-0.2564371,0.34572712,2.5086186,0.4709098,-2.9531727,0.15115945,4.2700324,-4.889628,-9.492934,7.0860863,random
0.7820351,2.669866,-0.9134915,7.1454387,-1.0932653,-0.39465162,0.9785366,3.0868115,0.13178883,-2.607749,0.18509379,2.2567222,-5.023678,-9.67433,5.6243916,random
1.548612,3.1872547,-2.1289704,5.7871847,-2.0307016,0.6201546,2.0795832,4.006923,-4.2534323,-1.54604,-0.6836011,0.87812114,-2.2086098,-6.838854,7.06723,random
0.73400563,3.0534182,-1.7584609,5.3906913,-2.985285,0.36404884,2.693421,3.4184377,-3.6725965,-1.8592862,0.12864777,0.9054405,-2.912085,-7.820027,5.2344847,random
2.2680972,2.5653398,-1.20797,5.6576986,-2.2532558,2.3189144,2.6217399,3.545431,-3.6228125,-1.2806093,-0.7206081,0.70366967,-2.8249915,-6.1849113,6.9338713,random
2.0087516,2.7243507,-1.8690441,5.824879,-1.8837179,1.4778334,2.228057,3.9812586,-4.1396513,-1.9578632,-0.7715284,0.908873,-2.312552,-6.437578,7.0598125,random
0.27363837,3.2621887,-0.12715264,4.2906904,-3.046622,1.3508313,2.9927971,5.269593,-3.0274396,-0.35155308,-0.5591541,2.4133918,-2.583584,-8.091571,6.276836,random
1.8589325,1.3114884,-2.4095328,5.1553087,-1.8840382,1.2202507,3.4387727,2.7357347,-1.6543394,-4.550809,-0.36343306,2.4138272,-3.3861873,-7.397272,6.229076,random
2.5543985,1.0789762,-2.226416,5.2708654,-1.5064518,1.1054016,3.1977432,2.458028,-1.6794049,-4.3652315,-0.632728,1.7195871,-3.804331,-7.1988883,6.3386,random
2.4640882,1.450889,-2.8999388,5.266579,-1.6435018,1.1651144,3.3735988,1.9566504,-1.3346174,-4.387691,-0.99429464,2.4335885,-3.0503788,-7.4393954,6.676974,random
1.3416146,1.479522,-2.7247148,4.556559,-2.2266273,0.79071075,3.4043787,2.7788815,-0.9863949,-4.309487,-0.080885805,1.7593193,-3.9701684,-7.7623167,6.5168915,random
1.8719125,1.3155987,-2.456973,5.060035,-1.6481782,1.1158832,3.4643474,3.316338,-1.5937232,-4.295551,-0.40597773,2.316223,-3.4570522,-7.5437384,6.1684318,random
0.517818,1.7401594,-0.7641949,6.516483,-1.2460995,0.084351055,0.99511075,3.2530155,-0.50743026,-2.689676,0.54190475,3.7266855,-4.9650364,-8.134919,7.256944,random
0.933302,2.2683008,-0.47472072,6.4579263,-1.6124263,-0.74131703,0.6092953,2.9438741,-1.1960706,-2.001518,-0.08943307,3.5881712,-4.6671352,-8.229051,7.6435285,random
1.1202253,2.3786573,-1.2344627,6.965058,-1.6222823,-0.2802477,1.8043959,3.3724399,-1.0593474,-2.4189258,0.5360304,2.7732487,-4.8909197,-8.116389,5.55553,random
1.5846305,2.1830685,-1.251894,5.751845,-2.585591,0.058923136,0.2669827,2.5548234,-0.87412524,-3.15235,-0.13807416,2.7943192,-5.527499,-8.177324,5.8196716,random
0.9713631,2.534969,-1.3132532,5.005361,-2.7788658,2.5461633,3.9225163,3.4451437,-2.9442346,-2.4438357,0.023543395,1.3647634,-1.7805179,-7.052876,6.19579,random
1.8548326,0.94997054,-1.8357614,6.387535,-2.3463585,0.5105942,1.0966402,2.030853,-1.1617357,-3.0254736,1.0500079,1.2191582,-6.4546313,-6.4143906,6.7031064,random
1.9442714,2.6698163,-1.7590108,5.4481826,-2.1075044,2.6229455,3.966009,2.8038514,-3.2511468,-2.4027426,0.039523322,1.1240896,-2.2253838,-6.8098164,5.6848807,random
2.7352302,2.5452223,-1.6648504,4.835986,-2.474743,2.7188528,3.4659753,3.2812755,-3.072397,-1.8040501,-1.0181757,0.9956137,-2.4753158,-6.6255193,6.298499,random
1.7605786,1.6111648,-2.4281821,7.5917606,0.023475826,0.07668781,-1.1379753,2.1263256,-0.50606495,-3.4103816,-0.8419674,3.2617905,-5.689752,-8.056527,7.481048,random
0.11928123,2.880774,-1.4776711,6.1147585,-4.184046,1.0876126,2.8583431,2.945634,-1.4791224,-3.636945,0.85608333,1.6998844,-2.7547805,-6.666097,5.5192814,random
2.1682193,2.0715084,-1.9848177,4.966651,-0.48396805,0.46169233,0.6162121,2.2135925,-1.5929148,-2.6525583,-0.115502454,1.5365839,-5.2574167,-8.717322,7.51699,random
1.6955982,0.98805887,-1.2751075,5.349337,-2.6187682,1.0107836,2.2888622,3.6634052,-1.5966066,-2.8247604,0.5165619,1.4480125,-4.159211,-6.9759817,7.38883,random
2.1263936,1.05761,-1.4158533,5.368877,-2.3475804,0.90722555,2.0840309,3.8416474,-1.7358078,-2.5134666,0.24186273,1.4223013,-4.0101814,-7.097854,7.5221295,random
2.1327863,0.89240175,-1.315887,5.3985677,-2.382277,0.56266886,1.7090875,3.8630574,-1.4724103,-2.3466794,0.39582157,1.5066388,-4.4007354,-7.2616296,7.7010884,random
1.3100755,1.095042,-2.2879243,6.458225,-1.3626819,-0.19226345,0.21702623,2.5577247,-0.286231,-2.7921407,1.3837371,3.057426,-7.221419,-6.8989587,6.968997,random
2.8210585,1.090284,-1.964594,6.63138,-1.5126234,-0.6231142,0.39525604,2.4288683,0.7894242,-1.4637598,0.7883008,2.8313427,-5.936166,-8.769847,7.336281,random
1.9933575,2.7071562,-0.8240906,5.03337,-1.6378988,-0.51228094,0.30963042,3.3892255,0.23051868,-2.7514026,-0.007717003,1.9114294,-5.5717516,-8.782863,7.031125,random
2.0022273,2.127004,-2.3381352,4.553975,-1.6691353,-1.3937532,-0.29996884,2.739149,0.8864987,-3.2694454,-0.030202081,2.2281363,-6.1665163,-9.041597,8.148701,random
2.0913887,2.1234965,-2.412496,4.462884,-1.8440725,-0.80216366,0.51746356,2.9810596,0.057030797,-3.433612,-0.2871599,2.0996556,-5.092113,-8.664012,7.869732,random
1.8638394,3.30059,-0.32013085,9.133421,0.25913063,0.44215065,1.2516031,0.40296224,1.9567865,-0.78004503,0.94245654,1.5643439,-6.4321938,-9.836289,5.919572,random
3.2401626,3.0774503,-1.7187335,5.9342933,-2.2037284,1.8042388,3.8087983,1.14109,-0.5028625,-1.2559873,-0.29390857,1.1820508,-3.7309525,-7.8046093,5.956698,random
3.958437,2.7888663,-2.676001,5.202455,-2.5616844,2.8763335,1.7663666,1.5189228,-0.09630661,-2.6501787,-1.4879985,0.8798014,-4.341502,-7.5522027,6.4323697,random
1.4139494,3.0012977,-1.2612948,3.5819182,-1.817893,1.8664501,2.5809922,1.4306536,-2.4279664,-1.9030424,-0.5614053,0.38464093,-5.0057917,-6.299243,7.998169,random
1.7851111,0.611672,-0.2988169,7.1894636,-2.8626347,-0.6190352,0.6221339,3.7679522,-0.77413577,-3.1154454,-0.69139576,3.6617527,-4.4329715,-8.055563,6.144462,random
1.8528991,0.6845724,-0.31052113,7.1526284,-2.7963393,-0.71260035,0.7115159,4.1050053,-0.97308993,-2.910013,-0.522604,3.5701773,-4.340616,-8.152247,6.0531063,random
1.2598444,2.223362,-1.2606163,7.0584736,0.7135235,-0.11504989,-0.13305794,3.1406622,-0.58893305,-2.4570274,-0.96430576,1.9934708,-5.464849,-9.899153,6.735953,random
0.88223517,1.5099689,-1.9373918,5.8405375,-2.5775473,0.4379497,-1.2892219,3.821688,-0.5787786,-3.5196478,-0.426176,3.285253,-5.6644015,-8.149364,7.0086384,random
0.09184024,0.80778426,-2.6959274,6.2961216,-0.88237786,-0.62346476,-0.31097135,3.4002025,-1.3722419,-1.2080079,-0.008106866,4.3154435,-5.551339,-9.120012,7.300376,random
0.9330261,1.1456532,-2.6793776,4.7929006,-2.0717442,1.9564879,0.7851134,1.7940477,-1.8840367,-2.994861,-0.71279484,2.6008785,-4.4372597,-8.090032,7.1693354,random
0.7049251,1.0185128,-1.0817231,5.7356005,-2.3628097,2.394702,2.0869424,1.9266067,-2.2671943,-2.837397,-0.7255037,2.4527597,-3.776371,-7.129077,6.9048004,random
1.557622,2.256009,-1.141899,5.6540427,-1.8639247,0.84110415,1.0417411,1.6201828,-1.8391,-3.4733984,-0.97320217,1.102894,-4.0033092,-8.233835,6.518444,random
